IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,Pillaje,LesionadosCiviles,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,TotalCombatientesMuertos,TotalCivilesMuertos,TotalCivilesCombatientesMuertos,NumeroVictimasCaso,Estado
511204,,24,7,1976,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Epl,0,0,0,0,0,0,0,,,,,,0,0,0,Publicado
521508,,25,10,2011,Anden pacifico sur,Nariño,San andrés de tumaco,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,8,,,,,0,0,0,Publicado
521513,Cr2017521513,19,11,2000,Sur del tolima,Tolima,Roncesvalles,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,2,,,,,3,3,3,Publicado
521842,Cr102116,3,2,1997,Atrato,Chocó,Riosucio,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo armado no dirimido,,1,0,0,0,1,0,0,,,,,,1,1,1,Publicado
521875,Cr2017521875,24,9,2012,Occidente de nariño,Nariño,Samaniego,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,,,,,0,0,0,0,Publicado
521877,,16,4,2009,Bajo cauca antioqueño,Antioquia,Cáceres,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,5,,,,0,0,0,0,Publicado
521880,,7,7,2009,Bajo cauca antioqueño,Antioquia,Cáceres,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,3,,,,0,0,0,0,Publicado
521917,,27,4,2006,Magdalena medio,Santander,Barrancabermeja,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Grupo posdesmovilización,Urabeños/autodefensas gaitanistas de colombia/águilas negras/clan úsuga,0,0,0,0,0,0,0,5,,,,0,0,0,0,Publicado
522006,,16,11,1975,Area metropolitana de bogota,"Bogotá, d.c.","Bogotá, d.c.",Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Desconocido,No aplica,0,0,0,0,0,0,0,,,,,,0,0,0,Publicado
532362,Cr2017532362,22,7,1976,Sur del valle,Valle del cauca,Cali,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,M-19,0,0,0,0,0,0,0,,,,,0,0,0,0,Publicado
