IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
290395,,8,1,1999,Norte de antioquia,Antioquia,Guadalupe,Asalto,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,5,Publicado
290396,Cr020946,8,1,1999,Magdalena medio,Bolívar,San pablo,Incursión,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,3,0,0,,,14,Publicado
290397,,8,1,1999,Norte de antioquia,Antioquia,Toledo,Retención/ejecución,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,5,Publicado
290398,Cr020945,8,1,1999,Serrania del perija,Cesar,Curumaní,Incursión,Arma de fuego - material incendiario,Grupo paramilitar,Autodefensas unidas de colombia auc,1,1,0,0,1,0,0,0,11,,,11,Publicado
290400,,9,1,1999,Montes de maria,Sucre,Tolú viejo,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,1,0,0,0,0,,,8,Publicado
290402,Cr020948,9,1,1999,Bajo putumayo,Putumayo,Valle del guamuez,Reunión pública,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,1,0,0,1,0,0,0,1,,,28,Publicado
290403,,9,1,1999,Cienaga grande de santa marta,Magdalena,Pivijay,Reunión pública,Nd,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,30,Publicado
290405,,10,1,1999,Occidente antioqueño,Antioquia,Sabanalarga,Retención/ejecución,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,4,Publicado
290406,,10,1,1999,Montes de maria,Sucre,Tolú viejo,Asalto,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,1,0,1,0,0,,,8,Publicado
290408,,15,1,1999,Ariari guayabero,Meta,Puerto lleras,Incursión,Arma de fuego,Guerrilla,Farc,0,1,0,0,0,0,0,0,0,,,5,Publicado
290409,Cr003145,28,1,1999,Occidente antioqueño,Antioquia,Dabeiba,Asalto,Nd,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,Ocultamiento de cadáver,4,Publicado
290415,,6,2,1999,Altiplano cundiboyacense,Cundinamarca,Ubaque,Asalto,Arma de fuego,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,5,Publicado
290416,,7,2,1999,Norte de nariño,Nariño,San pablo,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,4,Publicado
290418,,7,2,1999,Provincia de soto,Santander,Tona,Falso positivo,Nd,Agente del estado,Ejército nacional,1,0,0,0,1,0,0,0,0,,,4,Publicado
290421,,9,2,1999,Magdalena medio,Bolívar,San pablo,Desconocida,Nd,Grupo paramilitar,No identificado,0,1,0,0,0,0,0,0,0,,,4,Publicado
290422,Cr041073,10,2,1999,Bajo putumayo,Putumayo,Valle del guamuez,Incursión,Arma de fuego,Grupo paramilitar,Bloque central bolívar,0,1,0,0,1,0,0,0,7,,Ocultamiento de cadáver,7,Publicado
290423,Cr020964,13,2,1999,Montes de maria,Bolívar,El carmen de bolívar,Asalto,Arma de fuego,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,4,Publicado
